index,x,y,z,length,width,height
1,0,0,0,55,81,92
2,55,0,0,55,81,92
3,110,0,0,55,81,92
4,165,0,0,55,81,92
5,220,0,0,55,81,92
6,275,0,0,55,81,92
7,330,0,0,55,81,92
8,385,0,0,55,81,92
9,440,0,0,55,81,92
10,495,0,0,55,81,92
11,0,0,92,81,55,92
12,0,81,0,55,81,92
13,81,0,92,55,81,92
14,55,81,0,55,81,92
15,136,0,92,55,81,92
16,110,81,0,55,81,92
17,191,0,92,55,81,92
18,165,81,0,55,81,92
19,246,0,92,55,81,92
20,220,81,0,55,81,92
21,301,0,92,55,81,92
22,275,81,0,55,81,92
23,356,0,92,55,81,92
24,330,81,0,55,81,92
25,411,0,92,55,81,92
26,385,81,0,55,81,92
27,466,0,92,55,81,92
28,440,81,0,55,81,92
29,521,0,92,55,81,92
30,495,81,0,55,81,92
31,0,162,0,81,55,92
32,0,55,92,81,55,92
33,81,81,92,55,81,92
34,136,81,92,55,81,92
35,191,81,92,55,81,92
36,246,81,92,55,81,92
37,301,81,92,55,81,92
38,356,81,92,55,81,92
39,411,81,92,55,81,92
40,466,81,92,30,76,108
41,496,81,92,30,76,108
42,526,81,92,30,76,108
43,556,81,1,30,76,108
44,556,81,109,30,76,108
45,0,110,92,30,76,108
46,30,110,92,30,76,108
47,466,157,92,30,76,108
48,496,157,92,30,76,108
49,526,157,92,30,76,108
50,556,157,1,30,76,108
51,556,157,109,30,76,108
52,81,162,0,76,30,108
53,60,162,108,76,30,108
54,136,162,108,76,30,108
55,157,162,0,76,30,108
56,212,162,108,76,30,108
57,233,162,0,76,30,108
58,288,162,108,76,30,108
59,309,162,0,76,30,108
60,364,162,108,76,30,108
61,385,162,0,76,30,108
62,1,192,92,76,30,108
63,77,192,92,76,30,108
64,153,192,1,76,30,108
65,153,192,109,76,30,108
66,229,192,1,76,30,108
67,229,192,109,76,30,108
68,305,192,1,76,30,108
69,305,192,109,76,30,108
70,381,192,1,76,30,108
71,381,192,109,76,30,108
72,0,0,184,76,108,30
73,76,0,184,76,108,30
74,152,0,184,76,108,30
75,228,0,184,76,108,30
76,304,0,184,76,108,30
77,380,0,184,76,108,30
78,456,0,184,108,76,30
79,60,108,184,110,43,25
80,170,108,184,110,43,25
81,280,108,184,110,43,25
82,461,162,0,78,48,79
83,81,192,0,59,39,60
84,550,0,0,32,40,60
85,550,40,0,32,40,60
86,390,108,184,60,40,32
87,81,192,60,60,40,32
88,550,0,60,33,81,28
89,60,110,92,21,25,49
90,60,135,92,21,25,49
91,440,162,108,21,25,49
92,440,162,157,21,25,49
93,457,210,0,25,21,49
94,482,210,0,25,21,49
95,507,210,0,25,21,49
96,457,210,49,49,21,25
97,506,210,49,49,21,25
container,,,,587, 233, 220
fill_rate,,,,,,0.8969888951738174
execution_time,,,,,,0:02:05.900404
