list_name,index,x,y,z,length,width,height,pose,short_narrow,short_wide,normal_narrow,tall_narrow,normal_wide,tall_wide
E1-1_list,[(110-43-25)(92-55-81)(92-81-55)(110-43-25)(92-81-55)(110-43-25)(110-43-25)(110-43-25)(110-43-25)(92-81-55)(92-81-55)(110-43-25)(92-81-55)(92-81-55)(92-81-55)(92-81-55)(110-43-25)(110-43-25)(92-81-55)(110-43-25)(92-81-55)(92-81-55)(81-92-55)(110-43-25)(92-81-55)(110-43-25)(92-81-55)(92-81-55)(110-43-25)(92-81-55)(110-43-25)(92-81-55)(92-81-55)(110-43-25)(92-81-55)(92-81-55)(110-43-25)(92-81-55)(92-81-55)(92-81-55)(92-81-55)(110-43-25)(81-55-92)(110-43-25)(92-81-55)(110-43-25)(110-43-25)(92-81-55)(92-81-55)(110-43-25)(110-43-25)(92-81-55)(92-81-55)(110-43-25)(110-43-25)(92-81-55)(110-43-25)(110-43-25)(92-81-55)(110-43-25)(92-81-55)(92-81-55)(92-81-55)(110-43-25)(92-81-55)(92-55-81)(110-43-25)(110-43-25)(110-43-25)(110-43-25)(110-43-25)(92-55-81)]
E1-1_occ_rate,0.6609186157884347
E1-1,1,0,0,0,110,43,25,BoxPose.short_narrow,0.16155845992211668,0.5966394774236946,0.0392527959672327,0.1301953771439037,0.08235388954305248,0.0
E1-1,2,0,0,25,92,55,81,BoxPose.normal_narrow,0.16155845992211668,0.5966394774236946,0.0392527959672327,0.1301953771439037,0.08235388954305248,0.0
E1-1,3,92,0,25,92,81,55,BoxPose.short_narrow,0.16155845992211668,0.5966394774236946,0.0392527959672327,0.1301953771439037,0.08235388954305248,0.0
E1-1,4,0,43,0,110,43,25,BoxPose.short_narrow,0.16155845992211668,0.5966394774236946,0.0392527959672327,0.1301953771439037,0.08235388954305248,0.0
E1-1,5,0,55,25,92,81,55,BoxPose.short_narrow,0.16155845992211668,0.5966394774236946,0.0392527959672327,0.1301953771439037,0.08235388954305248,0.0
E1-1,6,0,55,80,110,43,25,BoxPose.short_narrow,0.16155845992211668,0.5966394774236946,0.0392527959672327,0.1301953771439037,0.08235388954305248,0.0
E1-1,7,0,86,0,110,43,25,BoxPose.short_narrow,0.16155845992211668,0.5966394774236946,0.0392527959672327,0.1301953771439037,0.08235388954305248,0.0
E1-1,8,0,98,80,110,43,25,BoxPose.short_narrow,0.16155845992211668,0.5966394774236946,0.0392527959672327,0.1301953771439037,0.08235388954305248,0.0
E1-1,9,0,129,0,110,43,25,BoxPose.short_narrow,0.16155845992211668,0.5966394774236946,0.0392527959672327,0.1301953771439037,0.08235388954305248,0.0
E1-1,10,0,136,25,92,81,55,BoxPose.short_narrow,0.16155845992211668,0.5966394774236946,0.0392527959672327,0.1301953771439037,0.08235388954305248,0.0
E1-1,11,184,0,1,92,81,55,BoxPose.short_narrow,0.16155845992211668,0.5966394774236946,0.0392527959672327,0.1301953771439037,0.08235388954305248,0.0
E1-1,12,92,0,80,110,43,25,BoxPose.short_narrow,0.16155845992211668,0.5966394774236946,0.0392527959672327,0.1301953771439037,0.08235388954305248,0.0
E1-1,13,92,81,25,92,81,55,BoxPose.short_narrow,0.16155845992211668,0.5966394774236946,0.0392527959672327,0.1301953771439037,0.08235388954305248,0.0
E1-1,14,276,0,1,92,81,55,BoxPose.short_narrow,0.16155845992211668,0.5966394774236946,0.0392527959672327,0.1301953771439037,0.08235388954305248,0.0
E1-1,15,184,81,1,92,81,55,BoxPose.short_narrow,0.16155845992211668,0.5966394774236946,0.0392527959672327,0.1301953771439037,0.08235388954305248,0.0
E1-1,16,368,0,1,92,81,55,BoxPose.short_narrow,0.16155845992211668,0.5966394774236946,0.0392527959672327,0.1301953771439037,0.08235388954305248,0.0
E1-1,17,202,0,56,110,43,25,BoxPose.short_narrow,0.16155845992211668,0.5966394774236946,0.0392527959672327,0.1301953771439037,0.08235388954305248,0.0
E1-1,18,312,0,56,110,43,25,BoxPose.short_narrow,0.16155845992211668,0.5966394774236946,0.0392527959672327,0.1301953771439037,0.08235388954305248,0.0
E1-1,19,276,81,1,92,81,55,BoxPose.short_narrow,0.16155845992211668,0.5966394774236946,0.0392527959672327,0.1301953771439037,0.08235388954305248,0.0
E1-1,20,184,43,56,110,43,25,BoxPose.short_narrow,0.16155845992211668,0.5966394774236946,0.0392527959672327,0.1301953771439037,0.08235388954305248,0.0
E1-1,21,460,0,1,92,81,55,BoxPose.short_narrow,0.16155845992211668,0.5966394774236946,0.0392527959672327,0.1301953771439037,0.08235388954305248,0.0
E1-1,22,368,81,1,92,81,55,BoxPose.short_narrow,0.16155845992211668,0.5966394774236946,0.0392527959672327,0.1301953771439037,0.08235388954305248,0.0
E1-1,23,460,81,1,81,92,55,BoxPose.short_wide,0.16155845992211668,0.5966394774236946,0.0392527959672327,0.1301953771439037,0.08235388954305248,0.0
E1-1,24,422,0,56,110,43,25,BoxPose.short_narrow,0.16155845992211668,0.5966394774236946,0.0392527959672327,0.1301953771439037,0.08235388954305248,0.0
E1-1,25,0,0,106,92,81,55,BoxPose.short_narrow,0.16155845992211668,0.5966394774236946,0.0392527959672327,0.1301953771439037,0.08235388954305248,0.0
E1-1,26,92,0,105,110,43,25,BoxPose.short_narrow,0.16155845992211668,0.5966394774236946,0.0392527959672327,0.1301953771439037,0.08235388954305248,0.0
E1-1,27,92,43,105,92,81,55,BoxPose.short_narrow,0.16155845992211668,0.5966394774236946,0.0392527959672327,0.1301953771439037,0.08235388954305248,0.0
E1-1,28,0,81,105,92,81,55,BoxPose.short_narrow,0.16155845992211668,0.5966394774236946,0.0392527959672327,0.1301953771439037,0.08235388954305248,0.0
E1-1,29,0,141,80,110,43,25,BoxPose.short_narrow,0.16155845992211668,0.5966394774236946,0.0392527959672327,0.1301953771439037,0.08235388954305248,0.0
E1-1,30,92,124,105,92,81,55,BoxPose.short_narrow,0.16155845992211668,0.5966394774236946,0.0392527959672327,0.1301953771439037,0.08235388954305248,0.0
E1-1,31,0,172,0,110,43,25,BoxPose.short_narrow,0.16155845992211668,0.5966394774236946,0.0392527959672327,0.1301953771439037,0.08235388954305248,0.0
E1-1,32,202,0,81,92,81,55,BoxPose.short_narrow,0.16155845992211668,0.5966394774236946,0.0392527959672327,0.1301953771439037,0.08235388954305248,0.0
E1-1,33,184,86,56,92,81,55,BoxPose.short_narrow,0.16155845992211668,0.5966394774236946,0.0392527959672327,0.1301953771439037,0.08235388954305248,0.0
E1-1,34,92,0,130,110,43,25,BoxPose.short_narrow,0.16155845992211668,0.5966394774236946,0.0392527959672327,0.1301953771439037,0.08235388954305248,0.0
E1-1,35,294,0,81,92,81,55,BoxPose.short_narrow,0.16155845992211668,0.5966394774236946,0.0392527959672327,0.1301953771439037,0.08235388954305248,0.0
E1-1,36,276,86,56,92,81,55,BoxPose.short_narrow,0.16155845992211668,0.5966394774236946,0.0392527959672327,0.1301953771439037,0.08235388954305248,0.0
E1-1,37,184,81,111,110,43,25,BoxPose.short_narrow,0.16155845992211668,0.5966394774236946,0.0392527959672327,0.1301953771439037,0.08235388954305248,0.0
E1-1,38,386,0,81,92,81,55,BoxPose.short_narrow,0.16155845992211668,0.5966394774236946,0.0392527959672327,0.1301953771439037,0.08235388954305248,0.0
E1-1,39,368,81,56,92,81,55,BoxPose.short_narrow,0.16155845992211668,0.5966394774236946,0.0392527959672327,0.1301953771439037,0.08235388954305248,0.0
E1-1,40,478,0,81,92,81,55,BoxPose.short_narrow,0.16155845992211668,0.5966394774236946,0.0392527959672327,0.1301953771439037,0.08235388954305248,0.0
E1-1,41,460,81,56,92,81,55,BoxPose.short_narrow,0.16155845992211668,0.5966394774236946,0.0392527959672327,0.1301953771439037,0.08235388954305248,0.0
E1-1,42,294,81,111,110,43,25,BoxPose.short_narrow,0.16155845992211668,0.5966394774236946,0.0392527959672327,0.1301953771439037,0.08235388954305248,0.0
E1-1,43,368,162,1,81,55,92,BoxPose.tall_narrow,0.16155845992211668,0.5966394774236946,0.0392527959672327,0.1301953771439037,0.08235388954305248,0.0
E1-1,44,404,81,111,110,43,25,BoxPose.short_narrow,0.16155845992211668,0.5966394774236946,0.0392527959672327,0.1301953771439037,0.08235388954305248,0.0
E1-1,45,0,0,161,92,81,55,BoxPose.short_narrow,0.16155845992211668,0.5966394774236946,0.0392527959672327,0.1301953771439037,0.08235388954305248,0.0
E1-1,46,92,0,155,110,43,25,BoxPose.short_narrow,0.16155845992211668,0.5966394774236946,0.0392527959672327,0.1301953771439037,0.08235388954305248,0.0
E1-1,47,0,81,160,110,43,25,BoxPose.short_narrow,0.16155845992211668,0.5966394774236946,0.0392527959672327,0.1301953771439037,0.08235388954305248,0.0
E1-1,48,0,124,160,92,81,55,BoxPose.short_narrow,0.16155845992211668,0.5966394774236946,0.0392527959672327,0.1301953771439037,0.08235388954305248,0.0
