Case 1
0.00 0.00 0.00
0.00 0.00 30.00
0.00 76.00 0.00
0.00 76.00 30.00
0.00 152.00 0.00
0.00 152.00 30.00
108.00 0.00 0.00
108.00 0.00 30.00
108.00 76.00 0.00
108.00 76.00 30.00
108.00 152.00 0.00
108.00 152.00 30.00
216.00 0.00 0.00
216.00 0.00 30.00
216.00 76.00 0.00
216.00 76.00 30.00
216.00 152.00 0.00
216.00 152.00 30.00
324.00 0.00 0.00
324.00 0.00 30.00
324.00 76.00 0.00
324.00 76.00 30.00
324.00 152.00 0.00
324.00 152.00 30.00
432.00 0.00 0.00
432.00 0.00 30.00
432.00 76.00 0.00
432.00 76.00 30.00
432.00 152.00 0.00
432.00 152.00 30.00
0.00 0.00 60.00
0.00 43.00 60.00
0.00 86.00 60.00
0.00 129.00 60.00
0.00 172.00 60.00
110.00 0.00 60.00
110.00 43.00 60.00
110.00 86.00 60.00
110.00 129.00 60.00
110.00 172.00 60.00
220.00 0.00 60.00
220.00 43.00 60.00
220.00 86.00 60.00
220.00 129.00 60.00
220.00 172.00 60.00
330.00 0.00 60.00
330.00 43.00 60.00
330.00 86.00 60.00
330.00 129.00 60.00
330.00 172.00 60.00
440.00 0.00 60.00
440.00 0.00 115.00
440.00 81.00 60.00
440.00 81.00 115.00
0.00 0.00 85.00
0.00 76.00 85.00
108.00 0.00 85.00
108.00 76.00 85.00
216.00 0.00 85.00
216.00 76.00 85.00
324.00 0.00 85.00
324.00 76.00 85.00
0.00 152.00 85.00
0.00 152.00 110.00
0.00 152.00 135.00
110.00 152.00 85.00
110.00 152.00 110.00
110.00 152.00 135.00
220.00 152.00 85.00
220.00 152.00 110.00
220.00 152.00 135.00
330.00 152.00 85.00
330.00 152.00 110.00
330.00 152.00 135.00
0.00 0.00 115.00
92.00 0.00 115.00
184.00 0.00 115.00
276.00 0.00 115.00
0.00 81.00 115.00
0.00 0.00 170.00
108.00 0.00 170.00
used ratio:62.26%

Case 2
0.00 0.00 0.00
