0.9018457860218906
index,x,y,z,length,width,height
1,0,0,0,72,84,85
2,0,84,0,72,84,85
3,72,0,0,72,84,85
4,72,84,0,72,84,85
5,144,0,0,72,84,85
6,144,84,0,72,84,85
7,216,0,0,72,84,85
8,216,84,0,72,84,85
9,288,0,0,72,84,85
10,288,84,0,72,84,85
11,360,0,0,72,84,85
12,360,84,0,72,84,85
13,432,0,0,72,84,85
14,432,84,0,72,84,85
15,504,0,0,72,84,85
16,504,84,0,72,84,85
17,0,0,85,64,76,103
18,0,76,85,64,76,103
19,0,152,85,64,76,103
20,64,0,85,64,76,103
21,64,76,85,64,76,103
22,64,152,85,64,76,103
23,0,168,0,103,64,76
24,128,0,85,64,76,103
25,128,76,85,64,76,103
26,128,152,85,64,76,103
27,192,0,85,64,76,103
28,192,76,85,62,70,95
29,192,146,85,62,70,95
30,103,168,0,95,62,70
31,256,0,85,62,70,95
32,256,70,85,62,70,95
33,254,140,85,62,70,95
34,198,168,0,95,62,70
35,318,0,85,62,70,95
36,318,70,85,62,70,95
37,316,140,85,62,70,95
38,380,0,85,62,70,95
39,380,70,85,62,70,95
40,378,140,85,62,70,95
41,293,168,0,95,62,70
42,442,0,85,38,76,86
43,442,76,85,38,76,86
44,440,152,85,38,76,86
45,388,168,0,86,38,76
46,480,0,85,38,76,86
47,480,76,85,38,76,86
48,478,152,85,38,76,86
49,518,0,85,38,76,86
50,518,76,85,38,76,86
51,516,152,85,38,76,86
52,474,168,0,86,38,76
53,442,0,171,47,71,48
54,489,0,171,47,71,48
55,536,0,171,47,71,48
56,442,71,171,47,71,48
57,489,71,171,47,71,48
58,536,71,171,47,71,48
59,440,142,171,47,71,48
60,487,142,171,47,71,48
61,534,142,171,47,71,48
62,0,0,188,49,111,26
63,49,0,188,49,111,26
64,98,0,188,49,111,26
65,147,0,188,49,111,26
66,196,0,188,49,111,26
67,245,0,188,49,111,26
68,294,0,180,49,111,26
69,343,0,180,49,111,26
70,392,0,180,49,111,26
71,556,0,85,26,111,49
72,0,111,188,49,111,26
73,49,111,188,49,111,26
74,98,111,188,49,111,26
75,192,111,180,43,90,33
76,235,111,180,43,90,33
77,278,111,180,43,90,33
78,321,111,180,43,90,33
79,364,111,180,43,90,33
80,556,0,134,31,48,36
81,556,48,134,31,48,36
82,556,96,134,31,48,36
83,147,111,188,36,48,31
84,407,111,180,31,48,36
85,556,111,85,31,36,48
86,556,144,133,31,48,36
87,556,147,85,31,36,48
88,147,159,188,36,48,31
89,407,159,180,31,48,36
90,554,183,76,31,36,48
91,192,201,180,48,31,36
92,560,168,0,21,25,49
93,560,168,49,21,49,25
94,560,193,0,21,25,49
95,240,201,180,49,21,25
96,289,201,180,49,21,25
97,338,201,180,49,21,25
98,388,206,0,21,25,49
99,388,206,49,49,21,25
100,409,206,0,21,25,49
101,430,206,0,21,25,49
102,437,206,49,49,21,25
103,451,206,0,21,25,49
104,472,206,0,21,25,49
