0.8197642243404869
index,x,y,z,length,width,height
1,0,0,0,42,50,66
2,0,50,0,42,50,66
3,0,100,0,42,50,66
4,0,150,0,42,50,66
5,42,0,0,42,50,66
6,0,0,66,35,54,80
7,0,54,66,35,54,80
8,84,0,0,56,63,97
9,140,0,0,56,63,97
10,196,0,0,56,63,97
11,252,0,0,35,56,100
12,287,0,0,35,56,100
13,322,0,0,35,56,100
14,357,0,0,35,56,100
15,392,0,0,27,81,97
16,419,0,0,27,81,97
17,446,0,0,58,63,103
18,504,0,0,56,63,97
19,252,56,0,56,63,97
20,308,56,0,56,63,97
21,42,63,0,56,61,106
22,98,63,0,56,61,106
23,154,63,0,56,61,106
24,446,63,0,56,61,106
25,502,63,0,56,61,106
26,210,119,0,56,61,106
27,266,119,0,56,61,106
28,322,119,0,56,63,97
29,378,81,0,56,63,97
30,42,124,0,56,63,97
31,35,0,66,35,54,80
32,210,63,0,35,54,80
33,0,108,66,35,54,80
34,98,124,0,35,54,80
35,133,124,0,35,54,80
36,168,124,0,35,54,80
37,434,124,0,35,54,80
38,560,0,0,27,81,97
39,558,81,0,27,81,97
40,469,124,0,39,67,85
41,508,124,0,39,67,85
42,378,144,0,39,67,85
43,98,178,0,67,39,85
44,165,180,0,67,39,85
45,232,180,0,67,39,85
46,417,191,0,67,39,85
47,484,191,0,67,39,85
48,0,0,146,64,68,71
49,0,68,146,64,68,71
50,0,136,146,64,68,71
51,64,0,146,64,68,71
52,64,68,106,64,68,71
53,64,136,97,64,68,71
54,128,0,106,39,85,67
55,64,68,177,67,85,39
56,128,85,106,39,85,67
57,64,153,173,85,67,39
58,167,0,106,39,67,85
59,167,67,106,39,67,85
60,167,134,85,39,78,102
61,206,0,106,39,78,102
62,206,78,106,39,78,102
63,245,0,100,39,78,102
64,245,78,106,39,78,102
65,206,156,106,78,39,102
66,42,187,0,50,40,91
67,284,0,100,40,50,91
68,284,50,100,40,50,91
69,284,100,106,40,50,91
70,284,150,106,40,50,91
71,324,0,100,40,50,91
72,324,50,100,40,50,91
73,324,100,97,40,50,91
74,324,150,97,40,50,91
75,299,182,0,40,50,91
76,364,0,100,36,46,113
77,364,46,100,36,46,113
78,0,162,66,41,57,75
79,400,0,97,41,57,75
80,400,57,97,41,57,75
81,364,114,97,41,57,75
82,364,92,172,57,75,41
83,364,167,172,75,57,41
84,364,171,97,41,57,75
85,400,0,172,50,91,40
86,441,0,103,91,40,50
87,441,40,106,58,103,63
88,499,40,106,58,63,103
89,499,103,106,58,63,103
90,439,143,85,56,61,106
91,495,166,85,56,61,106
92,551,166,1,35,56,100
93,551,166,101,35,56,100
94,206,195,85,56,35,100
95,450,0,169,36,113,46
96,532,0,97,46,36,113
97,557,36,106,27,81,97
98,70,0,97,30,61,48
99,405,114,97,30,48,61
100,557,117,106,30,48,61
101,405,162,85,30,48,61
102,128,170,85,30,48,61
103,339,182,0,30,48,61
104,262,200,91,48,30,61
105,262,200,152,48,30,61
106,310,200,91,48,30,61
107,310,200,152,48,30,61
108,131,0,173,30,101,26
109,324,0,191,30,101,26
110,161,1,191,30,101,26
111,149,102,191,30,101,26
112,149,203,187,101,30,26
113,439,204,85,30,26,101
