0.7124158430714645
index,x,y,z,length,width,height
1,0,0,0,23,37,73
2,23,0,0,39,48,61
3,0,0,73,33,43,90
4,0,43,61,31,36,48
5,33,0,61,47,48,71
6,31,48,1,38,76,86
7,1,124,1,44,52,98
8,0,37,0,23,73,37
9,80,0,1,72,84,85
10,80,0,86,41,51,60
11,31,48,87,41,51,60
12,69,84,1,38,76,86
13,121,0,86,21,25,49
14,107,84,1,38,76,86
15,45,160,1,75,63,75
16,121,25,86,23,37,73
17,45,160,76,76,38,86
18,72,51,86,37,23,73
19,0,43,109,31,36,48
20,152,0,1,38,76,86
21,190,0,1,72,84,85
22,152,76,1,26,49,111
23,144,0,87,31,36,48
24,178,84,1,62,70,95
25,121,62,87,26,111,49
26,147,154,1,33,43,90
27,180,154,1,44,52,98
28,175,0,87,41,51,60
29,262,0,1,47,48,71
30,262,0,72,33,43,90
31,240,84,1,64,76,103
32,309,0,1,72,84,85
33,295,0,86,47,48,71
34,216,0,86,39,48,61
35,304,84,1,72,84,85
36,304,48,86,63,75,75
37,342,0,86,39,48,61
38,224,160,1,76,64,103
39,304,123,86,40,42,74
40,144,36,87,21,25,49
41,300,165,86,75,63,75
42,1,176,1,33,43,90
43,381,0,1,44,52,98
44,381,0,99,39,48,61
45,262,43,72,21,25,49
46,381,52,1,38,76,86
47,367,48,99,39,48,61
48,425,0,1,63,75,75
49,425,0,76,38,76,86
50,419,75,1,44,98,52
51,419,76,53,39,48,61
52,419,124,53,44,52,98
53,376,128,1,38,76,86
54,375,204,1,49,26,111
55,488,0,1,38,76,86
56,463,76,1,72,84,85
57,463,0,87,31,36,48
58,526,0,1,26,49,111
59,494,0,87,23,37,73
60,458,76,86,47,48,71
61,463,160,1,62,70,95
62,517,0,112,26,111,49
63,552,0,1,23,37,73
64,535,49,1,44,52,98
65,543,0,112,31,36,48
66,525,160,1,62,70,95
67,535,101,1,47,48,71
68,144,0,147,62,95,70
69,0,0,163,47,71,48
70,47,0,159,40,74,42
71,87,0,146,31,36,48
72,206,0,147,44,98,52
73,87,0,194,21,49,25
74,250,0,162,76,86,38
75,326,0,161,40,74,42
76,366,0,161,44,98,52
77,410,0,162,76,86,38
78,121,95,136,84,85,72
79,486,0,161,39,61,48
80,525,0,161,47,71,48
81,0,71,157,41,60,51
82,543,36,112,33,90,43
83,463,126,96,84,72,85
84,41,74,147,47,71,48
85,108,0,194,21,49,25
86,326,74,161,26,111,49
87,205,98,104,75,63,75
88,205,161,104,76,64,103
89,410,86,151,47,71,48
90,121,0,135,21,25,49
91,486,61,161,39,61,48
92,525,71,161,60,41,51
93,205,98,179,111,49,26
94,375,157,151,47,71,48
95,552,0,74,31,48,36
96,367,96,87,39,48,61
97,463,36,76,23,37,73
98,0,131,99,41,51,60
99,457,122,181,43,90,33
100,206,0,199,25,49,21
101,500,122,181,76,86,38
102,547,126,96,39,48,61
103,255,43,121,31,48,36
104,0,131,159,41,51,60
105,118,25,159,21,49,25
106,486,37,87,21,25,49
107,0,182,91,33,43,90
108,165,51,87,73,23,37
109,41,145,162,39,61,48
110,165,51,124,73,37,23
111,34,198,76,90,33,43
112,262,48,1,31,36,48
113,80,145,162,41,60,51
114,121,180,119,47,48,71
115,547,174,96,39,48,61
116,87,49,184,49,21,25
117,206,49,199,25,49,21
118,41,74,195,21,49,25
119,62,74,195,21,49,25
120,88,74,87,23,37,73
121,168,180,99,33,43,90
122,88,74,160,31,36,48
