index,x,y,z,length,width,height
1,0,0,0,75,98,55
2,75,0,0,75,98,55
3,150,0,0,75,98,55
4,225,0,0,75,98,55
5,300,0,0,75,98,55
6,375,0,0,75,98,55
7,450,0,0,75,98,55
8,0,0,55,98,75,55
9,0,98,0,75,98,55
10,98,0,55,75,98,55
11,75,98,0,75,98,55
12,173,0,55,75,98,55
13,150,98,0,75,98,55
14,248,0,55,75,98,55
15,225,98,0,75,98,55
16,323,0,55,75,98,55
17,300,98,0,75,98,55
18,398,0,55,75,98,55
19,375,98,0,75,98,55
20,473,0,55,75,98,55
21,450,98,0,75,98,55
22,0,0,110,98,75,55
23,0,75,55,75,98,55
24,98,0,110,75,98,55
25,75,98,55,75,98,55
26,173,0,110,75,98,55
27,150,98,55,75,98,55
28,248,0,110,75,98,55
29,225,98,55,75,98,55
30,323,0,110,75,98,55
31,300,98,55,75,98,55
32,398,0,110,75,98,55
33,375,98,55,75,98,55
34,473,0,110,75,98,55
35,450,98,55,75,98,55
36,0,0,165,98,75,55
37,0,75,110,75,98,55
38,98,0,165,75,98,55
39,75,98,110,75,98,55
40,173,0,165,75,98,55
41,0,75,165,59,60,39
42,59,98,165,59,60,39
43,118,98,165,59,60,39
44,150,98,110,59,60,39
45,177,98,149,59,60,39
46,0,135,165,59,60,39
47,59,158,165,59,60,39
48,118,158,165,59,60,39
49,150,158,110,59,60,39
50,177,158,149,59,60,39
51,0,173,55,59,60,39
52,0,173,94,59,60,39
53,248,0,165,59,60,39
54,209,98,110,59,60,39
55,236,98,149,59,60,39
56,209,158,110,59,60,39
57,236,158,149,59,60,39
58,307,0,165,59,60,39
59,268,98,110,59,60,39
60,295,98,149,59,60,39
61,268,158,110,59,60,39
62,295,158,149,59,60,39
63,366,0,165,59,60,39
64,327,98,110,59,60,39
65,354,98,149,59,60,39
66,327,158,110,59,60,39
67,354,158,149,59,60,39
68,425,0,165,59,60,39
69,386,98,110,59,60,39
70,413,98,149,59,60,39
71,386,158,110,59,60,39
72,413,158,149,59,60,39
73,484,0,165,59,60,39
74,445,98,110,59,60,39
75,472,98,149,59,60,39
76,445,158,110,59,60,39
77,472,158,149,59,60,39
78,525,0,0,60,59,39
79,525,59,0,59,60,39
80,504,98,110,59,60,39
81,525,98,39,59,60,39
82,525,119,0,59,60,39
83,504,158,110,59,60,39
84,525,158,39,59,60,39
85,543,0,165,40,60,32
86,531,60,165,40,60,32
87,525,98,78,40,60,32
88,531,120,149,40,60,32
89,531,120,181,40,60,32
90,525,158,78,40,60,32
91,0,173,133,40,60,32
92,525,179,0,60,40,32
container,,,,587, 233, 220
