# {"t_start": 1672454481.0872173, "env_id": "PctContinuous-v0"} 
r,l,t
3.535527,17,3.812384
5.046095,20,5.17955
4.114286,18,6.413872
4.269149,21,8.010463
5.192233,22,9.600954
6.299501,28,11.681812
5.452246,17,12.905719
3.356311,15,14.04395
4.037924,18,15.368824
4.333148,18,16.640902
4.186543,19,18.057544
5.003907,19,19.460017
5.306976,24,21.26569
4.755632,19,22.625428
4.846736,19,24.025544
5.273015,26,25.977432
4.444272,18,27.267165
5.455379,23,29.000379
4.601438,18,30.295753
5.988614,21,31.824382
5.512483,20,33.337849
4.637911,18,34.654701
6.005084,23,36.369002
4.617886,17,37.594744
5.007593,18,38.91495
3.933848,18,40.242819
4.233038,19,41.662252
5.111712,22,43.227106
5.463776,25,45.090957
5.967149,27,47.081432
4.897473,15,48.187261
4.885414,20,49.641177
3.501699,15,50.778459
3.961024,16,51.940307
6.289872,16,53.089489
5.745015,22,54.755741
6.130386,21,56.28493
4.442112,17,57.484602
4.010998,20,58.994722
3.578996,15,60.09696
4.59037,19,61.490237
4.926384,21,63.017864
5.001126,22,64.643831
5.885327,19,66.067322
5.30332,20,67.505339
5.225561,26,69.457635
5.939691,23,71.112772
3.817395,17,72.378328
5.414625,17,73.631875
4.439205,18,74.938586
5.306594,18,76.213064
5.0464,20,77.695692
4.028708,18,79.007952
4.57779,19,80.467534
3.337563,12,81.326684
3.972913,21,82.871423
6.110042,23,84.603978
5.234574,21,86.103277
4.54488,17,87.322585
4.118346,19,88.771639
4.201502,17,90.044661
5.163541,16,91.27388
4.893652,20,92.737468
5.800052,23,94.40819
4.878173,20,95.952475
4.723947,23,97.628501
3.938352,20,99.152832
5.31976,29,101.292316
3.935185,17,102.579143
4.74212,21,104.121956
5.202676,21,105.623767
6.106426,19,107.04216
4.139656,17,108.324432
4.092899,19,109.769853
5.498697,24,111.499979
4.89661,22,113.091881
3.81724,15,114.250343
3.3541,15,115.379972
5.775663,22,116.991884
5.257152,21,118.580593
5.355109,15,119.681358
