,item,x,y,z,width,depth,height,layer
0,6,0,0,0,105,77,72,0
1,10,105,0,0,105,77,72,0
2,22,0,77,0,105,77,72,0
3,24,105,77,0,105,77,72,0
4,28,0,154,0,105,77,72,0
5,40,105,154,0,105,77,72,0
6,51,0,231,0,105,77,72,0
7,52,105,231,0,105,77,72,0
8,53,0,308,0,105,77,72,0
9,58,105,308,0,105,77,72,0
10,59,0,385,0,105,77,72,0
11,64,105,385,0,105,77,72,0
12,69,0,462,0,77,105,72,0
13,18,77,462,0,77,105,72,0
14,45,154,462,0,77,105,72,0
15,0,0,0,72,54,91,45,1
16,1,54,0,72,54,91,45,1
17,8,108,0,72,54,91,45,1
18,15,162,0,72,54,91,45,1
19,21,0,91,72,54,91,45,1
20,25,54,91,72,54,91,45,1
21,27,108,91,72,54,91,45,1
22,31,162,91,72,54,91,45,1
23,32,0,182,72,54,91,45,1
24,47,54,182,72,54,91,45,1
25,74,108,182,72,54,91,45,1
26,82,162,182,72,54,91,45,1
27,3,0,273,72,91,54,45,1
28,4,91,273,72,91,54,45,1
29,5,0,327,72,91,54,45,1
30,7,91,327,72,91,54,45,1
31,12,0,381,72,91,54,45,1
32,14,91,381,72,91,54,45,1
33,17,0,435,72,91,54,45,1
34,19,91,435,72,91,54,45,1
35,23,0,489,72,91,54,45,1
36,29,91,489,72,91,54,45,1
37,30,0,0,117,91,54,45,2
38,33,91,0,117,91,54,45,2
39,34,0,54,117,91,54,45,2
40,35,91,54,117,91,54,45,2
41,38,0,108,117,91,54,45,2
42,39,91,108,117,91,54,45,2
43,42,0,162,117,91,54,45,2
44,43,91,162,117,91,54,45,2
45,44,0,216,117,91,54,45,2
46,48,91,216,117,91,54,45,2
47,50,0,270,117,91,54,45,2
48,55,91,270,117,91,54,45,2
49,57,0,324,117,91,54,45,2
50,61,91,324,117,91,54,45,2
51,63,0,378,117,91,54,45,2
52,68,91,378,117,91,54,45,2
53,71,0,432,117,91,54,45,2
54,73,91,432,117,91,54,45,2
55,75,0,486,117,91,54,45,2
56,76,91,486,117,91,54,45,2
57,2,0,0,162,78,79,48,3
58,13,78,0,162,78,79,48,3
59,26,0,79,162,78,79,48,3
60,41,78,79,162,78,79,48,3
61,49,0,158,162,78,79,48,3
62,62,78,158,162,78,79,48,3
63,83,0,237,162,78,79,48,3
64,84,78,237,162,78,79,48,3
65,9,0,316,162,79,78,48,3
66,11,79,316,162,79,78,48,3
67,16,0,394,162,79,78,48,3
68,20,79,394,162,79,78,48,3
69,36,0,472,162,79,78,48,3
70,37,79,472,162,79,78,48,3
