587, 233, 220
1. 92.6, 81.8, 55.6, 1
2. 92.6, 81.8, 55.6, 1
3. 92.6, 81.8, 55.6, 1
4. 108.4, 76.7, 30.9, 1
5. 92.6, 81.8, 55.6, 1
6. 92.6, 81.8, 55.6, 1
7. 108.4, 76.7, 30.9, 1
8. 110.6, 43.3, 25.1, 1
9. 110.6, 43.3, 25.1, 1
10. 92.6, 81.8, 55.6, 1
11. 110.6, 43.3, 25.1, 1
12. 92.6, 81.8, 55.6, 1
13. 110.6, 43.3, 25.1, 1
14. 92.6, 81.8, 55.6, 1
15. 108.4, 76.7, 30.9, 1
16. 110.6, 43.3, 25.1, 1
17. 92.6, 81.8, 55.6, 1
18. 108.4, 76.7, 30.9, 1
19. 92.6, 81.8, 55.6, 1
20. 108.4, 76.7, 30.9, 1
21. 108.4, 76.7, 30.9, 1
22. 108.4, 76.7, 30.9, 1
23. 110.6, 43.3, 25.1, 1
24. 110.6, 43.3, 25.1, 1
25. 92.6, 81.8, 55.6, 1
26. 110.6, 43.3, 25.1, 1
27. 92.6, 81.8, 55.6, 1
28. 108.4, 76.7, 30.9, 1
29. 108.4, 76.7, 30.9, 1
30. 108.4, 76.7, 30.9, 1
31. 92.6, 81.8, 55.6, 1
32. 92.6, 81.8, 55.6, 1
33. 92.6, 81.8, 55.6, 1
34. 92.6, 81.8, 55.6, 1
35. 110.6, 43.3, 25.1, 1
36. 92.6, 81.8, 55.6, 1
37. 110.6, 43.3, 25.1, 1
38. 108.4, 76.7, 30.9, 1
39. 108.4, 76.7, 30.9, 1
40. 110.6, 43.3, 25.1, 1
41. 108.4, 76.7, 30.9, 1
42. 110.6, 43.3, 25.1, 1
43. 92.6, 81.8, 55.6, 1
44. 108.4, 76.7, 30.9, 1
45. 110.6, 43.3, 25.1, 1
46. 110.6, 43.3, 25.1, 1
47. 108.4, 76.7, 30.9, 1
48. 108.4, 76.7, 30.9, 1
49. 92.6, 81.8, 55.6, 1
50. 110.6, 43.3, 25.1, 1
51. 110.6, 43.3, 25.1, 1
52. 108.4, 76.7, 30.9, 1
53. 92.6, 81.8, 55.6, 1
54. 92.6, 81.8, 55.6, 1
55. 92.6, 81.8, 55.6, 1
56. 108.4, 76.7, 30.9, 1
57. 108.4, 76.7, 30.9, 1
58. 108.4, 76.7, 30.9, 1
59. 108.4, 76.7, 30.9, 1
60. 110.6, 43.3, 25.1, 1
61. 92.6, 81.8, 55.6, 1
62. 110.6, 43.3, 25.1, 1
63. 92.6, 81.8, 55.6, 1
64. 108.4, 76.7, 30.9, 1
65. 92.6, 81.8, 55.6, 1
66. 110.6, 43.3, 25.1, 1
67. 108.4, 76.7, 30.9, 1
68. 110.6, 43.3, 25.1, 1
69. 108.4, 76.7, 30.9, 1
70. 108.4, 76.7, 30.9, 1
71. 110.6, 43.3, 25.1, 1
72. 108.4, 76.7, 30.9, 1
73. 108.4, 76.7, 30.9, 1
74. 108.4, 76.7, 30.9, 1
75. 92.6, 81.8, 55.6, 1
76. 110.6, 43.3, 25.1, 1
77. 110.6, 43.3, 25.1, 1
78. 110.6, 43.3, 25.1, 1
79. 110.6, 43.3, 25.1, 1
80. 110.6, 43.3, 25.1, 1
81. 92.6, 81.8, 55.6, 1
82. 92.6, 81.8, 55.6, 1
83. 110.6, 43.3, 25.1, 1
84. 108.4, 76.7, 30.9, 1
85. 92.6, 81.8, 55.6, 1
86. 110.6, 43.3, 25.1, 1
87. 108.4, 76.7, 30.9, 1
88. 108.4, 76.7, 30.9, 1
89. 108.4, 76.7, 30.9, 1
90. 108.4, 76.7, 30.9, 1
91. 110.6, 43.3, 25.1, 1
92. 108.4, 76.7, 30.9, 1
93. 108.4, 76.7, 30.9, 1
94. 110.6, 43.3, 25.1, 1
95. 110.6, 43.3, 25.1, 1
96. 110.6, 43.3, 25.1, 1
97. 92.6, 81.8, 55.6, 1
98. 108.4, 76.7, 30.9, 1
99. 108.4, 76.7, 30.9, 1
100. 108.4, 76.7, 30.9, 1
101. 92.6, 81.8, 55.6, 1
102. 92.6, 81.8, 55.6, 1
103. 108.4, 76.7, 30.9, 1
104. 92.6, 81.8, 55.6, 1
105. 92.6, 81.8, 55.6, 1
106. 92.6, 81.8, 55.6, 1
107. 92.6, 81.8, 55.6, 1
108. 110.6, 43.3, 25.1, 1
109. 92.6, 81.8, 55.6, 1
110. 108.4, 76.7, 30.9, 1
111. 92.6, 81.8, 55.6, 1
112. 92.6, 81.8, 55.6, 1
