587, 233, 220
1. 110, 43, 25, 1
2. 108, 76, 30, 1
3. 92, 81, 55, 1
4. 92, 81, 55, 1
5. 110, 43, 25, 1
6. 108, 76, 30, 1
7. 108, 76, 30, 1
8. 110, 43, 25, 1
9. 110, 43, 25, 1
10. 108, 76, 30, 1
11. 92, 81, 55, 1
12. 110, 43, 25, 1
13. 108, 76, 30, 1
14. 108, 76, 30, 1
15. 92, 81, 55, 1
16. 108, 76, 30, 1
17. 110, 43, 25, 1
18. 92, 81, 55, 1
19. 108, 76, 30, 1
20. 110, 43, 25, 1
21. 108, 76, 30, 1
22. 110, 43, 25, 1
23. 92, 81, 55, 1
24. 110, 43, 25, 1
25. 110, 43, 25, 1
26. 108, 76, 30, 1
27. 92, 81, 55, 1
28. 110, 43, 25, 1
29. 92, 81, 55, 1
30. 92, 81, 55, 1
31. 108, 76, 30, 1
32. 108, 76, 30, 1
33. 110, 43, 25, 1
34. 92, 81, 55, 1
35. 108, 76, 30, 1
36. 92, 81, 55, 1
37. 110, 43, 25, 1
38. 108, 76, 30, 1
39. 110, 43, 25, 1
40. 92, 81, 55, 1
41. 92, 81, 55, 1
42. 92, 81, 55, 1
43. 108, 76, 30, 1
44. 92, 81, 55, 1
45. 108, 76, 30, 1
46. 92, 81, 55, 1
47. 108, 76, 30, 1
48. 108, 76, 30, 1
49. 108, 76, 30, 1
50. 110, 43, 25, 1
51. 108, 76, 30, 1
52. 92, 81, 55, 1
53. 110, 43, 25, 1
54. 108, 76, 30, 1
55. 92, 81, 55, 1
56. 110, 43, 25, 1
57. 108, 76, 30, 1
58. 92, 81, 55, 1
59. 110, 43, 25, 1
60. 110, 43, 25, 1
61. 108, 76, 30, 1
62. 108, 76, 30, 1
63. 92, 81, 55, 1
64. 110, 43, 25, 1
65. 108, 76, 30, 1
66. 92, 81, 55, 1
67. 92, 81, 55, 1
68. 92, 81, 55, 1
69. 110, 43, 25, 1
70. 110, 43, 25, 1
71. 92, 81, 55, 1
72. 92, 81, 55, 1
73. 110, 43, 25, 1
74. 92, 81, 55, 1
75. 92, 81, 55, 1
76. 92, 81, 55, 1
77. 108, 76, 30, 1
78. 110, 43, 25, 1
79. 92, 81, 55, 1
80. 108, 76, 30, 1
81. 108, 76, 30, 1
82. 108, 76, 30, 1
83. 110, 43, 25, 1
84. 110, 43, 25, 1
85. 108, 76, 30, 1
86. 108, 76, 30, 1
87. 108, 76, 30, 1
88. 92, 81, 55, 1
89. 110, 43, 25, 1
90. 108, 76, 30, 1
91. 108, 76, 30, 1
92. 110, 43, 25, 1
93. 110, 43, 25, 1
94. 108, 76, 30, 1
95. 92, 81, 55, 1
96. 92, 81, 55, 1
97. 92, 81, 55, 1
98. 110, 43, 25, 1
99. 110, 43, 25, 1
100. 92, 81, 55, 1
101. 108, 76, 30, 1
102. 92, 81, 55, 1
103. 92, 81, 55, 1
104. 108, 76, 30, 1
105. 108, 76, 30, 1
106. 92, 81, 55, 1
107. 108, 76, 30, 1
108. 92, 81, 55, 1
109. 110, 43, 25, 1
110. 92, 81, 55, 1
111. 108, 76, 30, 1
112. 110, 43, 25, 1
